country,avg_price,count
United Arab Emirates,8578341.176470589,17
Australia,4581472.075,2
Philippines,4553000.0,1
Taiwan,4250000.0,1
Monaco,2244200.0,10
Luxembourg,1900000.0,1
Thailand,1884333.3333333333,3
Venezuela,1190000.0,1
Greece,1118415.6626506024,83
Bulgaria,906000.0,3
Turkey,899202.3125,64
russian federation,898585.7142857143,7
Ireland,897388.83,1
None,827250.5972222222,36
Montenegro,788859.0909090909,22
United States,762150.0,6
Malta,633486.8055555555,72
Egypt,550000.0,1
United Kingdom,530795.555733945,218
Spain,489655.3424645892,706
Latvia,462300.0,3
Norway,453000.0,2
Sweden,421833.96153846156,13
Ukraine,407500.0,2
Seychelles,379000.0,1
Morocco,375000.0,1
croatia (hrvatska),356895.2901234568,810
Lebanon,320000.0,1
Estonia,316738.5,6
Italy,309190.93285238626,1802
Finland,288806.28571428574,35
Netherlands,288542.8271954674,1059
Portugal,267175.94074074074,135
Slovenia,258038.25,40
France,252245.42254663422,1233
Poland,194223.68292682926,41
Germany,191410.32364380755,1954
Cyprus,189200.0,5
belgium,159541.11290322582,62
Denmark,159330.6475287356,174
Austria,151320.6,90
Czech Republic,124600.0,5
Lithuania,123900.0,5
Switzerland,103867.20751107176,1129
Croatia,70685.71428571429,7
Hungary,67425.0,4
Romania,58500.0,1
Belgium,53527.333333333336,3
slovak republic,27660.0,9
Serbia,12000.0,1
